spatial_info_id,installation_location,road_name,longitude,latitude,district_code,district_name,parking_violation_note,weekday_start_time_am,weekday_start_time_pm,weekday_end_time_am,weekday_end_time_pm,saturday_start_time_am,saturday_start_time_pm,saturday_end_time_am,saturday_end_time_pm,holiday_start_time_am,holiday_start_time_pm,holiday_end_time_am,holiday_end_time_pm
31,서구청건너,국채보상로,128.558414,35.87104331,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
32,이현공단주유소 옆,국채보상로,128.5513019,35.86985021,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,17:00,10:00,19:00,-,-,-,-,-,-,-,-
33,대성초등학교,국채보상로,128.5778276,35.87118558,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
34,북부정류장 내,서대구로,128.5555297,35.88452727,3,서구,촬영간격(일반-10분[토 일 제외]  택시-5분[토 일 포함])  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
35,은하수노래방,당산로,128.5465522,35.85952832,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
36,킹스턴파크,서대구로,128.5566444,35.8615158,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
37,서문시장,큰장로,128.5790457,35.8693926,3,서구,촬영간격 20분  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
38,홈플러스내당점,달구벌대로,128.5630273,35.85976828,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
39,평리푸르지오입구,국채보상로50길,128.558962,35.87026276,3,서구,촬영간격(APT구간-25분  구청구간-10분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
310,북부정류장 입구,서대구로,128.5568287,35.88489091,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
311,광장타운입구,달구벌대로,128.5524515,35.85610645,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
312,평리동롯데캐슬,국채보상로,128.5650997,35.87191818,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
313,이현시장,북비산로,128.5503213,35.87875881,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
314,북비산네거리,북비산로,128.5710146,35.87971842,3,서구,촬영간격(일반-10분  화물-15분)  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
315,평리칸타빌 앞,서대구로,128.5550202,35.87160757,3,서구,촬영간격(일반-10분  화물-15분  버스정류장-5분),7:00,14:00,12:00,19:00,10:00,14:00,12:00,19:00,10:00,14:00,12:00,19:00
316,대경한의원앞,평리로,128.5505519,35.86261835,3,서구,촬영간격(일반-10분  화물-15분)  U턴구간 21:00까지 단속  토 일 공휴일 제외,7:00,14:00,12:00,19:00,-,-,-,-,-,-,-,-
