위반장소명,count
동호동 205-13 ,1
동호동 206-3,5
동호동 207-8,1
동호동 292-13 ,3
동호동 351-3 ,32
동호동 352-5 ,1
동호동 353-1 ,3
동호동 353-2 ,3
동호동 354 ,14
동호동 357 ,1
동호동 362 ,1
동호동 365 ,1
동호동 366-4 ,2
동호동 367-1 ,12
동호동 367-5 ,11
동호동 367-7 ,2
동호동 367-9 ,4
동호동 368-5 ,1
동호동 368-6 ,1
동호동 369 ,6
동호동 372 ,8
동호동 374 ,5
동호동 375-1 ,3
동호동 375-4 ,2
동호동 376-1 ,30
동호동 377-9 ,2
동호동 381-1 ,9
동호동 387 ,1
동호동 388,10
동호동 393,7
동호동 395-14 ,64
동호동 395-3,7
동호동 43-1 ,1
동호동 43-3 ,1
동호동 97-3 ,4
동호동 97-4,4
동호동 경안로 754,25
동호동 금강로 12,8
동호동 반야월로 223,2
동호동 안심로 363,3
동호동375-1,1
동호로,102
동호로11길,1
동호로3길,2
동호로5길,2
동호초등학교,35
동화천로,1
둔산동 359 ,1
둔산로,3
디어반오피스텔,26
디어반오피스텔 ,64
롯데아울렛,20
메리어트,1748
미곡동 193-2 ,1
미곡동 196-9,3
미곡동 616-1,1
미곡동 636-2,1
미대동 747-1,4
미대동 769-1,1
미대동 팔공로 809,8
반야월 초등학교 ,40
반야월로,141
반야월로 ,4
반야월로26길,1
반야월로34길,1
반야월북로,224
반야월북로 221,1
반야월북로 251,1
반야월초등학교 ,9
방천로,125
방천로1길,3
방천로6길,1
방촌동 100-29 ,1
방촌동 1002-11 ,1
방촌동 1002-6 ,1
방촌동 1006-3 ,1
방촌동 1010-45 ,1
방촌동 1015-26 ,1
방촌동 1015-27 ,1
방촌동 1015-3 ,4
방촌동 1015-4 ,8
방촌동 1015-79 ,3
방촌동 1044-97 ,1
방촌동 1045-2 ,2
방촌동 1047 ,6
방촌동 1048-646 ,2
방촌동 1050-100 ,1
방촌동 1050-71 ,1
방촌동 1050-93 ,2
방촌동 1051-2 ,5
방촌동 1058 ,1
방촌동 1063-2 ,5
방촌동 1063-24 ,1
방촌동 1063-5 ,2
방촌동 1065-3 ,1
방촌동 1067-10 ,2
방촌동 1072-24 ,2
방촌동 1072-44 ,1
방촌동 1072-45 ,46
방촌동 1072-56 ,2
방촌동 1072-57 ,4
방촌동 1074-2 ,1
방촌동 1084-201 ,2
방촌동 1084-207 ,2
방촌동 1084-214 ,10
방촌동 1084-272,3
방촌동 1084-272 ,4
방촌동 1084-287 ,8
방촌동 1084-30 ,1
방촌동 1084-504 ,2
방촌동 1084-505 ,47
방촌동 1084-506 ,2
방촌동 1084-507 ,30
방촌동 1084-60 ,10
방촌동 1084-624 ,12
방촌동 1084-646 ,46
방촌동 1084-663 ,10
방촌동 1084-666 ,5
방촌동 1084-667 ,4
방촌동 1084-668 ,6
방촌동 1084-694 ,1
방촌동 1084-7 ,1
방촌동 1084-700 ,1
방촌동 1084-716 ,3
방촌동 1084-725 ,1
방촌동 1084-743,1
방촌동 1084-743 ,4
방촌동 1084-761 ,15
방촌동 1084-77 ,3
방촌동 1084-94 ,1
방촌동 1084-96 ,2
방촌동 1088-2 ,1
방촌동 1089-2 ,9
방촌동 1090-1 ,6
방촌동 1090-9 ,1
방촌동 1093-8 ,28
방촌동 1094-2 ,4
방촌동 1094-3 ,166
방촌동 1096-17 ,9
방촌동 1096-21 ,1
방촌동 1103-2 ,8
방촌동 1103-5 ,4
방촌동 1113 ,2
방촌동 1113-117 ,13
방촌동 1113-118 ,5
방촌동 1113-128 ,2
방촌동 1113-137 ,3
방촌동 1113-145 ,1
방촌동 1113-23 ,2
